parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%
tau_tilde,3677.003008378074,0.999817324102435,5.631257823132078,1.158620596974953,70.25677934727662,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03695456611321691,24.853692650323556,0.07467947589467328,12.220626564440572,0.14625831568085737,6.261614374675869,0.4004440237257525,2.441377943249034,0.3115214762841134,3.067399575690006,0.7302418521422435,1.4041965532582432,1.011851329695787
lp__,1465.6805959668327,1.0034343469174507,-23.84247279380974,0.07512055831168367,2.8759310929996325,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-30.505935489963306,-19.29183993018036,-29.150232662243354,-19.8545633440616,-27.755959051255314,-20.479194852062257,-25.440121078440633,-21.753235861192206,-26.042549775712015,-21.36914875397484,-24.160578267509266,-22.77694201025939,-23.475048631844864
lambda[4],2226.1125660472885,1.0009865952065424,6.745293257979164,1.2807886654621459,60.429783199708304,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03946007352342269,29.973027164986046,0.07549180737684391,14.434485131913243,0.16149355121296494,6.519072396183096,0.4163494113355335,2.479233537678657,0.33306698939942114,3.0743886318032554,0.734996622891942,1.4016087792999166,1.0076831810275824
lambda[3],2620.7058997197655,1.0031943913821757,10.119791696799808,3.389956488346669,173.54146807976275,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03726304461461477,26.241837931182754,0.07286020781968595,13.08468456749894,0.14670300931642508,6.502084373408186,0.41210624279415453,2.4916268493308267,0.31919921137865587,3.221411275306769,0.7367671050869402,1.3886241118063292,1.0061035592805738
lambda[2],2460.4663376035,1.0011220973531603,7.711617387874085,1.7752190786810602,88.05634815167721,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03624750482245332,31.96192826585731,0.0725832797933228,14.439677724742259,0.14636971106263486,6.421711918193046,0.4082953590633671,2.3693082045334717,0.3262231825859162,3.0730803231857413,0.7256721090839252,1.3520955902627687,0.9936341853152312
lambda[1],2836.7991041740984,0.9997252048565353,3.309020545873264,0.2343650044923247,12.482657476559416,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03590817493726307,20.12569119826348,0.07076424783290985,11.528144112698568,0.16215605156051355,5.471886865783884,0.42151605597950836,2.2149887079966604,0.32907097173856664,2.7936555722937206,0.733999044324857,1.3390202208303843,0.995142303633088
c2_tilde,2220.900163970428,1.002879983265567,1.890843039529445,0.06512672940548331,3.0691900882245826,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.3509471805112519,7.35422472556858,0.41176606244159886,5.3440048376831815,0.506671486759341,3.6758943260529526,0.7341862408678574,2.0719004415270654,0.6646331979648628,2.450855685981918,0.9751069528343927,1.4416489721263679,1.1653749985894999
b_total,4542.001817207495,0.9989038057295068,0.6875102903977668,0.006478971356107011,0.43664622689734844,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-0.18369545106601953,1.5484426144181387,-0.02593003471254543,1.4035081890678018,0.1441560969629006,1.231426865028593,0.40254501365685963,0.9746892024469916,0.34077466565974074,1.051190926010219,0.5844712262217058,0.7891894011686398,0.6833459894220671
b_seqvar[4],3543.7435923419353,1.0005236697177926,-0.39380524043686105,0.010875978421899317,0.6474399334616595,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-2.311306372824624,-9.049642633737705e-4,-1.6130701535893088,-0.002369963611664496,-1.1164717062000578,-0.00695502393388522,-0.46291888067880704,-0.03108429088956836,-0.6227581917311582,-0.02171838993944303,-0.2204424506546942,-0.07974152594042563,-0.13308666206919562
b_seqvar[3],3001.182226900866,1.00076419617436,-0.6197894650954063,0.020056345907844757,1.098747738375391,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-3.5667325236677803,-0.001684400678944265,-2.604521602623702,-0.004001890717566964,-1.7012949666057882,-0.011472319783071337,-0.7073264728411514,-0.048529559007576634,-0.9523818094757988,-0.03326519110055903,-0.3352457366737775,-0.12161636577017909,-0.20138943949410676
b_seqvar[2],2957.174031803771,1.000673764879251,0.4231549689470458,0.016419789672351387,0.8929065970666301,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.1557729822776048,3.14699375060314,-0.04540129467023388,2.1599920362401064,-0.005382510545388661,1.3005617122174578,0.010859040965935204,0.41037806217307254,0.004627359463403905,0.5945403377495361,0.045382561039694416,0.17193363288427133,0.09400684721545825
b_seqvar[1],3180.201320541691,1.0005250026684818,-0.5670204466140675,0.016751901754814738,0.9446945809427102,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-3.4807921663995716,-0.0015364672841023557,-2.4916939220005654,-0.003827844136604673,-1.5907904426838724,-0.011867790120837237,-0.6455947689605908,-0.04572343219502923,-0.851476374777185,-0.03259346206713873,-0.3027397921728757,-0.11261007995036806,-0.18998980611123353
beta[4],2641.8038254966973,1.0001678017917406,0.6956361632409788,0.007347460064558413,0.37764828483888135,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.13089777832785263,1.5628051161583179,0.18726492188058078,1.40332249169618,0.2699524600760456,1.212104487777106,0.4162761555528374,0.9116708232258185,0.37072870801230184,0.989508796445685,0.5477613966936514,0.7359964705816278,0.637093033923067
beta[3],2451.535244851148,1.001208402114177,1.083126756807089,0.012147992246275894,0.6014833040452849,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.20994466076472817,2.503839958471915,0.2875219566769719,2.176312494512667,0.40360508682655877,1.890785577611428,0.6229684618870025,1.4575089101118113,0.5548858935175519,1.5907489675795614,0.8283235383891535,1.1392040046582188,0.9805125360834526
beta[2],3717.387065679847,0.9995573837689877,-0.7456572057844801,0.011183397846022028,0.6818560006194915,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-2.2812671936260154,0.32428488928705923,-1.9921935266179707,0.21411235719707497,-1.7040895720148295,0.07180904006006385,-1.1794586415675807,-0.2360856636476784,-1.3144568400890146,-0.14616576599008077,-0.8493746324127229,-0.48019014882350997,-0.6585864700623714
beta[1],2532.622379899716,1.0024021302954227,1.0576004124922889,0.011993503592014926,0.6035750647869547,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.20480276903515865,2.5053044970843197,0.28289278301702697,2.2136537017484286,0.38920155140790935,1.9149617772650804,0.5988414002572067,1.4044423385207196,0.5351678793892194,1.5426102157783228,0.8082003121755752,1.0976131452735742,0.9505950067713764
alpha,4370.468827456011,0.999338128380459,-2.3828953689383616,0.007355996860329464,0.4863014322857269,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-3.406031191927862,-1.4969491420908445,-3.230474147047474,-1.6180377012344136,-3.008603757825748,-1.7772224998387196,-2.696705517458677,-2.0467641772513456,-2.780000580426,-1.971429475589922,-2.491780635647287,-2.241236684510988,-2.3649260959670437
