parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%
tau_tilde,3606.358168684304,1.0019874602125016,4.843215610154595,0.7072751831433095,42.473969247599626,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04208798266788479,23.234102881666704,0.08410311322367138,11.270545055926096,0.1617649098963491,5.7122490108704955,0.41452020894021346,2.363778829873463,0.32982858909459506,2.9431708804440326,0.7010265937693069,1.3633649779756312,0.9690240252895421
lp__,1567.5887740739463,1.004481664757425,-205.689467587331,0.09336685397190125,3.6966539523201605,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-213.7955264286265,-199.427053467118,-212.05618764662108,-200.1645622062311,-210.55984230663378,-201.14120753275958,-208.01758756197003,-203.02535168907914,-208.73743253136223,-202.50737398265946,-206.31607313049943,-204.47786552026173,-205.36491521003813
lambda[9],2585.976417928389,1.0015203863530273,5.183840992421836,1.4603047559223268,74.26014274283722,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.039906278287738406,22.251533151246882,0.08537245813425157,12.442795414600134,0.17416065776499182,6.092896525743158,0.42278912267213964,2.3726889033617944,0.33895680622154023,3.0239354759159323,0.72750727413604,1.3653942748881067,1.0101509039148824
lambda[8],3456.31655719709,1.0000000444090653,10.113502369156485,3.0206413016006595,177.58484974633555,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.033180898797889116,34.77405911911136,0.07785804963609994,14.985411572746639,0.16098178971141333,7.159736855008596,0.4215516910359329,2.4823274448782184,0.31964370758465444,3.276813774288707,0.7388874891530066,1.3973277031892808,1.0046262380823687
lambda[7],2174.3761857846052,1.0007429634353993,6.256385901897377,1.3907184933308703,64.8494909382479,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.033931829420387825,23.309875056315132,0.06980435296132367,12.00678841147846,0.15736465871591074,6.099003056529943,0.420022692115664,2.3900314910802254,0.32932380794345995,3.0188297440871166,0.7250268818634502,1.387618427221788,0.9939896528223738
lambda[6],2373.680031715432,1.0013042580729277,4.270798179161329,0.5058251826975272,24.644019016353248,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.045798739232909176,23.99303200389483,0.08729393572141529,12.049443432538995,0.1735422920289337,5.996514614325792,0.42094863359668,2.3820280097537294,0.3312692804132673,3.0281998236388024,0.7369516004694564,1.4162924520393,1.0189150987634064
lambda[5],3075.7816266100467,1.0012015939552716,4.9179844160020485,0.6980631493029713,38.71439362556132,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03663823447642236,24.576839115704455,0.08193816896965701,12.105550332738538,0.17193636961744685,5.996045439738891,0.4170503465029563,2.3163884330208986,0.3319757079829625,2.952747204846571,0.7407284851192864,1.347717102002063,0.9984544501936676
lambda[4],3163.55933634952,1.0003551567104163,5.947912003607365,1.8756356157200762,105.49611414704287,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.050950456874818306,26.097986746590415,0.08919427595569618,13.25320275397328,0.16075622512977916,6.21377200477549,0.4087221817005531,2.417985701440401,0.31389248243494144,3.0934979491751804,0.7195705587130548,1.391751281543855,0.9857263674083585
lambda[3],2907.809282566591,1.000023873740212,6.390774574078421,1.2501708119318993,67.41434424626185,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.037896748979342386,24.106230082367404,0.08012689680641874,12.176431295018785,0.16713338899638824,6.1912397075418415,0.42964072031143,2.46937216916117,0.3385797753597157,3.1669005057470963,0.7413611617616178,1.3862103757523625,0.998638422917584
lambda[2],3918.4404934078534,1.0000438516694408,12.415629520288661,8.422317275239319,527.2155674943298,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.047106502871829416,20.667008056700315,0.08530770986862732,11.707697552156196,0.16199369315723242,5.764440880035242,0.42288472026766377,2.355513662000058,0.3314206218419399,2.97651942672167,0.7186482033645286,1.3402234290175854,0.99780726263566355
lambda[1],2963.329261192971,0.9999201597881578,9.50705879225166,4.078954618312509,222.0438905287521,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03617135574549866,24.406043060200947,0.0778667913734724,12.340138834010087,0.1569895751980443,6.142801159836755,0.4088230452153072,2.4003881750606753,0.31736023956985165,3.096232235807503,0.7244699385003649,1.3590127819019302,0.998265367551606
c2_tilde,1949.8099649055648,1.0016882956330047,2.176361492904019,0.13522669698614298,5.971158275042575,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.3638389414788011,8.720216130995826,0.4258562846624693,5.938464727340675,0.5177768570636236,3.889166332769499,0.7453918542011418,2.0992070169763823,0.6736713066706996,2.4647109889763055,0.998068563138724,1.4535954863818228,1.2029101418383799
b_total,4666.579362123047,1.0000095071643977,1.0543682101588254,0.002371117669604336,0.16197665831119437,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.7393763590458614,1.3728885611379271,0.7839574829191038,1.3223283040047369,0.846862652079148,1.259957448806285,0.9410278185034389,1.1635568108277057,0.9147392443631931,1.1905328323668978,1.0151099016253715,1.0957266197059845,1.0564432647509596
b_seqvar[9],3525.450920200288,1.0010223589438785,0.24685096047551328,0.011599826582548224,0.6887455931146036,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.7267903193942631,2.2429464321367627,-0.3915170692397802,1.6586902614985537,-0.16202667556494285,0.9757973420493864,-0.00723095229304396,0.2988694371430251,-0.028000771851480085,0.43373613829434216,0.012895907404695962,0.10023959123157022,0.04405113335942602
b_seqvar[8],3873.909329612618,1.000013235781647,-0.10441599719865141,0.0024969648390286638,0.15541293158967157,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-0.5002564529392816,-5.6007183609808944e-5,-0.40725146296385417,-5.040131436919732e-4,-0.2863053873996729,-0.002073058222918343,-0.14260770606823578,-0.00953999660938711,-0.18127979096212204,-0.006457284122403985,-0.07195010190935205,-0.02456280062705217,-0.04466069981478639
b_seqvar[7],3450.2471788606363,1.0009009536779587,-0.25651191492315534,0.006579031339353403,0.3864444370289121,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-1.3043740245391064,-6.668535643058038e-5,-1.0176647973330326,-0.0011097119554468557,-0.7189930144473677,-0.004578024040886403,-0.3466309870521723,-0.022786264218457867,-0.441454498647377,-0.01482295075883089,-0.16448225077148437,-0.05795068543622908,-0.09776290602654013
b_seqvar[6],3579.2591120871984,1.0010015534519545,-0.6919534286390197,0.01816990634074313,1.0870493440578304,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-3.5492631951292006,-0.0010269435632538927,-2.6838443867412503,-0.004151345944244363,-1.8749251294761806,-0.0134315176742345,-0.8933347886498499,-0.06380217246063749,-1.1378976315645624,-0.04292172829244761,-0.4362045584931573,-0.1575515532663091,-0.2711919047385699
b_seqvar[5],2987.729473780457,1.0002343993380658,0.045482217705562024,0.0033468858184185104,0.18294120358690683,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.22850295103979595,0.5285262069650029,-0.13215847745315407,0.3437833784141223,-0.06383015951465407,0.20999621122842943,-0.0067657085820803575,0.057083336690853644,-0.014848570013721548,0.08813875074524667,7.535041179442606e-4,0.01681032701773661,0.006259557952472374
b_seqvar[4],3230.654202998887,0.9997017928827286,0.20302859062209735,0.014293165515611654,0.8124070069874063,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.0380120241430935,2.4019222202127106,-0.6718790413531586,1.6105229196154212,-0.3073175564449622,0.9432494803781571,-0.030214983562446892,0.2733721842946259,-0.0696527612344134,0.41190988295360936,0.004101704339508857,0.07519601648858253,0.028155465439994753
b_seqvar[3],3463.5539456801753,1.0007113930726714,-0.11468239773731169,0.005265784800972083,0.3099017900213546,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.905725936037278,0.3697409543964199,-0.6942134590172347,0.16986591163020967,-0.4501812626782446,0.05458213241918937,-0.1614186397572068,-3.075188199858975e-4,-0.2206091037423515,0.0031333900100892027,-0.06030600417271083,-0.012648089765151499,-0.03034022536196174
b_seqvar[2],3509.922990567619,1.0024357939644877,-0.619275112576414,0.016382093495084012,0.9705506262463893,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-3.39862206224163,-0.0018783366526503819,-2.4569146310378978,-0.005060967068641737,-1.7055257690433205,-0.01301398861896708,-0.7888803935055935,-0.05738105572059386,-0.9880679918619628,-0.038924206034027437,-0.3810689241039405,-0.14688994962376367,-0.2363764445020386
b_seqvar[1],3621.00912062084,1.0000677509160767,0.28760214549044016,0.012582551917501242,0.7571528133567095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.49925472237843266,2.339562095280229,-0.2716092313167451,1.6205686754161777,-0.09451274835387842,1.0085758563220384,-0.0021039186586784215,0.32704681395123186,-0.01279494156455843,0.4601516060591724,0.016975912279860936,0.11594138534862483,0.050439495870105586
beta[9],4525.406865798067,1.0002088531527438,-0.38754741314337054,0.009312471778709239,0.626460633532764,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.7625903415562678,0.6081215910915561,-1.5409094616606918,0.48958496946317204,-1.250894095072916,0.35106457182962386,-0.7894149819850326,0.07711511285444991,-0.9103508328084216,0.16623155253265734,-0.48825179349993253,-0.14581115213766463,-0.30250883530389056
beta[8],6729.309722592648,0.9989825919345015,0.1456172425077091,8.29689416880292e-4,0.06806138920418886,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.007072002299840845,0.2778805841102011,0.03166810962539456,0.2544014943307883,0.05714000379754038,0.22970438691987352,0.10130864530063743,0.1905268647017621,0.09137477187288266,0.20161476831410582,0.13072736829133338,0.16350222540812265,0.14817826928729372
beta[7],5986.7858270677225,0.9988410217212167,0.3619504219606854,0.0025647191700211196,0.19844340892453852,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.004783609816212644,0.7839791705868001,0.06214458713488326,0.7105796174145911,0.12472811505553048,0.615158681870867,0.2248153886853697,0.4847667021835264,0.197491028051872,0.5156347764445677,0.30370870843479697,0.39767032479681647,0.34999114881806087
beta[6],4200.845350352527,1.0018098116635652,0.9660915410343783,0.008751323483746097,0.5672076560917293,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.08622330237019328,2.236438236114524,0.19376812623262266,2.02904325359504,0.32433251530636065,1.7598833230755777,0.5599127987524303,1.3026005464668422,0.4952707450107562,1.427784143900829,0.7371064810873451,1.013525378464243,0.8710428028417103
beta[5],4541.26862917788,0.9999892944426383,-0.06955908146338158,0.0023903053767998024,0.16108013488649123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.4352678375419334,0.2006675787888408,-0.36303460987136615,0.16186708305649908,-0.2869066147584648,0.11851905889993637,-0.16459192618938628,0.04196261433640593,-0.19541550468019647,0.06332356853299374,-0.0905992249148575,-0.014578413146894594,-0.05066837732909498
beta[4],7334.963964426653,0.9985562448994334,-0.28309918102130627,0.008143368938465458,0.6974339806139453,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.7329038967941712,0.9463910719385396,-1.5121241279942998,0.7912537260238355,-1.2134471716537507,0.589035559202447,-0.7349484078058401,0.22044770113995132,-0.8600463024255975,0.3277663480956224,-0.42897591283735026,-0.06930174785336404,-0.25045142631102296
beta[3],4537.5218896011565,1.0004211407343218,0.17336176546683654,0.003861952269377904,0.2601454704400872,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.39227676721623844,0.6472389991645768,-0.2826198514501786,0.5724909016899185,-0.16327225657541017,0.4876574339497187,0.011466589119482862,0.35017379669287546,-0.03208984657331725,0.38876528125291354,0.1270564744314293,0.24983124313624477,0.18727076300937187
beta[2],3548.673704588368,1.000694508793536,0.8886498667683772,0.008953404965526286,0.5333610074447815,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.13448148575864496,2.1400772486753388,0.20315098891103342,1.8948926868897609,0.29506819024021363,1.6063819529452306,0.4865253085084642,1.2037560685616242,0.42426157565618944,1.3031576926020856,0.6666525899736091,0.9399255043548588,0.7953888149262089
beta[1],4929.118444099945,0.9993742392870901,-0.4109826567066199,0.008478862804898096,0.5952812934006954,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.7490181901763073,0.5276007008152602,-1.5180608229628845,0.41990186557430703,-1.2160669292519988,0.2887229837475355,-0.7781101639818385,0.02936216235782038,-0.9166612227981331,0.10414412558758707,-0.4885661597696093,-0.17913128449860344,-0.32881267754856663
alpha,4023.5113608285055,0.9990871359847059,-2.978015966430734,0.002982583787469891,0.18918873302339637,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-3.3595459839569175,-2.611049840780606,-3.2905363538315155,-2.6672793613262793,-3.223993004934744,-2.7354511643968045,-3.102373300161322,-2.852601528316037,-3.135842609916283,-2.820442459826399,-3.021158036956047,-2.929144353934097,-2.9750795658757614
