parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%
tau_tilde,2091.7066671771395,1.0017354958056655,15.850054184169714,9.154617424944387,418.6880735135808,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03196463715835573,27.794957494384544,0.06791706373441574,12.840274062861063,0.13676105231374186,6.469075127722093,0.38933528156740116,2.385632471058889,0.30305115830657825,3.040990031323958,0.7030659333519502,1.3560988371241798,0.9715682673386907
lp__,1325.2733673283294,1.0068557500976396,-23.719830413657146,0.07645824294399764,2.7834091379254797,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-29.832387774054066,-19.370508098368905,-28.75652829787906,-19.805185536782382,-27.395693001261492,-20.436933150643476,-25.422066996075152,-21.643878789137695,-25.99394428835536,-21.285973065285223,-24.087144334780668,-22.711861680028527,-23.395961768105927
lambda[4],3176.6727577401466,1.0002292412428584,8.161189916232395,2.9262556860517903,164.92956362713835,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03944732272640906,22.571134974779472,0.0824784339744254,11.793577712013557,0.15323126451799585,5.832669976744289,0.41617237940103197,2.3420376140329995,0.3214310346499545,2.923909910338974,0.7320900966960495,1.3642427765379845,1.0045482250296738
lambda[3],3962.304540235541,1.0000374356677544,58.2435792209792,52.88462698971833,3328.920100757185,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.05152180374018544,25.9645215912176,0.0925402655390729,12.442088047626106,0.17157740913573816,6.010374563235958,0.4188204607572443,2.384080390622542,0.3256276788146911,3.0440224354426206,0.7253769307880822,1.3650940567892111,0.9963677735665503
lambda[2],2856.20993633052,1.0019102452394708,9.064879105891178,2.8796480071055304,153.89852872561795,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.039830407701980326,26.497659793430504,0.07659510817283499,13.465506478811626,0.157649475873624,6.786058328338463,0.41044778075291394,2.3733281666462154,0.3203710510517955,3.0473822778629045,0.7106179325243304,1.3824718593634062,1.004908627310765
lambda[1],3896.8886144424273,0.9994738509551693,5.0827310987879875,0.993618441086813,62.0266947687711,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.0471354246409567,21.01944158943393,0.09037212591857939,10.487359272729094,0.17300142714212832,5.676834235218274,0.42051686421524415,2.3621604431716006,0.33708697937506016,2.9254473063918502,0.725071062414536,1.3695746053214917,1.002057713557623
c2_tilde,2867.876923260858,1.0011697421386225,1.9309309806631532,0.06440629336291896,3.449122034441546,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.3545376387977366,8.0829473884077,0.42066244327554575,5.335838652774285,0.5202234212284644,3.5956519038963672,0.7443867969807657,1.9798261002418458,0.6751153713204883,2.284544069918988,0.9813459480015696,1.4243993156131802,1.17585052395153
beta[4],3860.7337007750225,1.0002521137707283,0.6077232424798131,0.0059143100157369125,0.3674844856587477,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.034939742620009304,1.4735880368906182,0.09844786135986107,1.2959183567118053,0.18382797647324423,1.0988141229666768,0.3422728404902266,0.8205399380003437,0.295595733013535,0.8939461529458879,0.47017710836089516,0.6498313131203439,0.5546502301186922
beta[3],3085.360731701555,0.9995645518399376,1.0471943386963023,0.011031361010318695,0.6127482384165154,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.13773466867017875,2.4227094543505796,0.2267798853458116,2.1980949602536923,0.34335612520204556,1.8838261828407898,0.5906337590440623,1.414693262902108,0.5161908711307307,1.5545016359768753,0.7982489125072194,1.1123794730216894,0.9500908334963393
beta[2],4245.125182331608,1.0000477903937435,-0.47264997107912515,0.011150750887616264,0.7265229945569337,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.006082980200352,0.764467735547927,-1.7606733312606015,0.6205697544803246,-1.4472213463550443,0.42819653392650864,-0.9550910878049477,0.06147421797902608,-1.1013105860625123,0.16807244892878392,-0.6172190998800949,-0.2281622989670316,-0.4126132092881617
beta[1],3251.6402938487226,1.0001809536489745,1.0689721034599047,0.011156664110442171,0.6361881954314792,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.11806437533601559,2.5409057082420934,0.2049257331570063,2.284710509921046,0.3485349681273562,1.9467533115068993,0.5943160200782192,1.4482639320741024,0.5164540979583226,1.578684040807631,0.8142897942662852,1.1462620057436892,0.9582302820710977
b_total,4645.9616926985955,0.9994944163549466,0.99852766925113,0.006819625655526333,0.4648344939156058,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.10284480840955891,1.9636659948977766,0.2589521321189868,1.7811025598566734,0.4069751259559251,1.5850753420336672,0.6920166299317236,1.2993957824520452,0.6176408112170424,1.3803754061607634,0.8771474769981229,1.1045579174720193,0.9887349983910529
b_seqvar[4],3591.778427184835,1.0014726091627666,-0.33372507496434356,0.0099049487408557,0.5936179177450627,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-1.9029619923823144,-2.553137293308014e-4,-1.451844911527827,-0.001359759820815523,-0.9625069673068147,-0.0047191164483483755,-0.3886811068140259,-0.022232489991549784,-0.5217435282688141,-0.015330772565908524,-0.16700616140454136,-0.058648416015938426,-0.10119530869447832
b_seqvar[3],3366.2184034800744,1.0004644742517055,-0.5994831477080562,0.017268349470027033,1.0018944576496884,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-3.4886795073516215,-9.731956441454991e-4,-2.610501695138172,-0.00271332706206108,-1.7787055163446615,-0.009187272170250475,-0.7269543237451219,-0.04019589436909085,-0.9490603779988195,-0.027759623737337404,-0.3159163656476224,-0.09839529305201268,-0.18221203253875898
b_seqvar[2],2699.4714244146367,0.9999494701169629,0.2866621089048985,0.016867345731780895,0.876367198641934,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.6545764640101611,2.6130385405149457,-0.33934374984703963,1.7610312953335874,-0.11415942333105084,1.0296822753808912,-0.0026692163687471273,0.29113055690279677,-0.01389606394304976,0.4098902000038471,0.011488761209847757,0.08725442918012004,0.034892995443955396
b_seqvar[1],3427.1435951480607,1.0010330801759264,-0.5894076916792927,0.017188550462133318,1.006248866644229,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-3.412861173836606,-7.965355031947846e-4,-2.6542134529381753,-0.002939930629901764,-1.7262381817371484,-0.009063868710594083,-0.6823929708159766,-0.041366533722297386,-0.870069608363546,-0.02867523744059508,-0.3098369815398293,-0.11026451525255573,-0.18469597082632722
alpha,4417.942965700039,0.9997726374632457,-2.48428616632858,0.007440044579866619,0.49452196957306044,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-3.5576654679961113,-1.6036139128384923,-3.344750449336504,-1.7421934129290402,-3.118540421028164,-1.8833169664857914,-2.791666861214331,-2.1284162572139262,-2.892707616035961,-2.063818009546665,-2.579436437070756,-2.325617820488143,-2.4493093325931445
