parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%
tau_tilde,3282.578718419116,1.0004876069189685,8.25272788755806,3.3469396301101124,191.75886641213748,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03592364615036391,26.163145593475914,0.0717006619154684,13.191402499512762,0.15470190208055712,6.865436483490394,0.400116863162081,2.5160089381182718,0.3104088879326061,3.2501955946279018,0.7176182824987386,1.401043346313101,1.0021623597445237
lp__,1395.267947161896,1.0069938790662862,-61.75928909859275,0.08234487964293923,3.0758518092563296,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-68.78036686319561,-56.808664063512644,-67.32822778077329,-57.3486038879407,-65.88627762880913,-58.0644754939997,-63.62290124494098,-59.546591211105365,-64.2194571839472,-59.132671304618455,-62.17718411904385,-60.68906516782428,-61.35243548109938
lambda[5],1892.7648315799656,1.0020966030553764,6.216043788161784,1.3234870598724933,57.57951844461986,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03264964620967279,27.490781865068723,0.07809239564379837,14.210565071604918,0.16195817725050532,6.465938335389058,0.41165410470684954,2.4478938001262005,0.3258392209709252,3.0829182603071903,0.719418991155263,1.4153321154247998,0.9813560141968409
lambda[4],2436.1758543620854,1.0012316616698271,5.706925054581662,0.8907373566000472,43.96468681556259,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.033095012282997,23.04712203202044,0.07062572234929695,12.624365590784961,0.14508284389817896,6.443464628939617,0.3952262168291405,2.4450625813172193,0.30479391484957064,3.1273932525164714,0.6982719878370325,1.3455708486320945,0.9531965189370915
lambda[3],2901.441571644174,1.0014380114327954,5.31921015473303,0.7819332803044398,42.11886043443409,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.049931328532069205,27.555557459768984,0.09112137933644264,12.208666499258591,0.1707560429910049,6.473344833965764,0.4179510272997625,2.482840177987854,0.3214533510511815,3.178077365994781,0.7194987990285511,1.421727378801378,0.9975453044613739
lambda[2],2022.1422099830017,1.0017717647152087,5.72290623077589,1.1973517813167254,53.84279695846873,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.033877813991203515,24.351117346887108,0.07366085040991578,12.506192280340137,0.1573001588160413,5.823878376314985,0.41379055702122836,2.2876299385651033,0.32716340452959436,2.8186582223119894,0.7032481064084702,1.33231216006726,0.952009597609774
lambda[1],3425.141837995525,1.0003433670387185,7.047817718617895,2.45561332393408,143.71406095775745,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.034501744219689066,27.371541884435334,0.06885404367207237,14.228653613854526,0.14282511094182163,6.783516252926528,0.3933828753490261,2.4731878596113317,0.3034547073216607,3.1039145514582276,0.7301570752227542,1.39470156318097,0.9967247117196854
c2_tilde,2806.352503118982,1.002120696047635,1.900148272721451,0.04969872747472373,2.6327909689561024,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.3609871944404419,7.9025822378879065,0.4254830937116439,5.410895567990701,0.5104424472686202,3.7424028434373806,0.7364889690199858,2.065348666192203,0.6662038707212872,2.4404519564904774,0.9707279183049677,1.449038815024486,1.1853204272181892
beta[5],5143.85395919768,1.0011404816108194,0.37071422696294104,0.002071718552584214,0.14858503475617002,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.0910683494176464,0.6877702074757676,0.13368454454063852,0.6256681239107369,0.1859387571239921,0.5627250933223183,0.2698233529444979,0.4631637023708397,0.2475996392778678,0.4941653958325331,0.3289192472700635,0.40105922845190667,0.3653008025905419
beta[4],5357.386577140888,0.9990352063086445,0.3045535247860166,0.002890790072101347,0.21158898106080695,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-0.08836809291243274,0.7698390894305843,-0.022295253734561142,0.6681730846916942,0.04848664225913868,0.5710350104268861,0.16598978284131244,0.43153811622830895,0.13761608632819472,0.46612613682664494,0.24187192511226227,0.34247613151677336,0.2901821306904536
