parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%
tau_tilde,3179.118901907471,0.9998544908227351,4.893780604552564,0.7547080255920331,42.55321267336033,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.041022359378802414,21.00435654408997,0.07483383635187232,11.764293853310178,0.1502160588211706,5.983063833173041,0.3851025554188319,2.334420129719804,0.2992357424019734,3.0755043590102757,0.6966603368591351,1.3099163962188225,0.9550659756838977
lp__,1523.204445625172,1.0043884643284657,-27.975782173876578,0.0717729466562636,2.8011726410211835,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-34.41354246105955,-23.592213492647424,-33.03426022257554,-24.06319771523235,-31.7467820538841,-24.665211357216208,-29.674466144282793,-25.900304419005728,-30.174063911061126,-25.51755005926073,-28.38271000985258,-26.929951168032986,-27.63690613104776
lambda[4],3811.3077998212248,0.9998591008510198,6.828997150962146,2.262571217770166,139.68162216313092,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.0527369047063811,23.26011520498364,0.08594715911832898,14.066708553679607,0.16995486787938602,6.82481785832075,0.41225391341807016,2.6017451534964966,0.32407635933605017,3.324443064738044,0.7394954987661421,1.4137403575460787,1.0334805565940988
lambda[3],4005.407510970895,0.9996602453608627,5.848362627359403,1.565926963295176,99.1048380379559,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03425155963359126,23.50539145777577,0.06878424464814809,12.844335768813783,0.14963325801732097,6.1167244829134795,0.4015961886882893,2.2182470613454863,0.3156780310531966,2.9144323918397372,0.705566948179339,1.334648955369993,0.9722112554977098
lambda[2],1454.3221883462945,1.0037561984664298,13.773377130067722,8.041847873818021,306.68050409313224,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.039433937776777665,29.903275618153238,0.07334502852731484,13.032369856233906,0.14324306818873878,6.7154721297024835,0.39604656497022656,2.3561608322571264,0.30560005233854437,3.0785462733224094,0.7120367586225526,1.3601859827816396,0.9944796131308367
lambda[1],2916.8457704062816,1.0008623722176226,13.231760824609273,5.62513569946414,303.80137618197733,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04287374622468667,25.750723671242636,0.08261504383521569,12.536277984643869,0.16579160991429007,6.2192313495193385,0.42551467011338595,2.368156371814402,0.3346928842159852,3.113818796130132,0.732218296645289,1.3917782213984227,1.0285835067398328
c2_tilde,2159.7909563188437,1.0023291203545195,1.8790592810235367,0.05952199915314287,2.766198672083169,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.38064159864984215,7.38180260434044,0.4359655089867963,5.219291194431351,0.5210288710995212,3.5271714964891214,0.7390275598458534,2.0830694833305925,0.6598418986261353,2.378754573491694,0.9858151455882709,1.4430487692487937,1.186804312293329
beta[4],3691.3834508132304,0.9994533813751489,1.1470530692190117,0.010448561619834847,0.6348207132871903,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.14318656069880217,2.6032718786591484,0.26626605373132695,2.3397077116594813,0.4023496337666123,2.0070201958447274,0.6835115490988949,1.534726867884633,0.5936187887228525,1.6464300389967976,0.9052822319791711,1.235902493899482,1.063678512675871
beta[3],5169.810951015145,0.9993481825857755,1.1270499516254422,0.012082062879775837,0.8687172047777677,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-0.5909041914760789,2.779892204762909,-0.29519526848211347,2.5402341637156893,0.03025513851271782,2.2370514574271514,0.5535555294211612,1.707297417963795,0.38966949052194483,1.8462438560451033,0.9148026880047636,1.3468432807218194,1.1223659375497712
beta[2],5270.475855037433,0.999581849812886,0.045709032333148374,0.013523846010650152,0.9818047549151433,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.790725328313608,1.9731358659859268,-1.5603955383579733,1.6839048351848493,-1.2060279228601039,1.3220155162885106,-0.6185001919232213,0.6894645509187926,-0.7841097905987904,0.8779711611609089,-0.214169975222746,0.28158622031783065,0.0522831121128128
