parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%
tau_tilde,2002.717808026337,1.0021162721139565,156.302704592687,146.42783520623755,6552.899714609612,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.0408871084936988,25.343988961509226,0.07902078675703075,13.35025834447064,0.16296216216775383,6.20417600144535,0.43496752358436735,2.331133886450137,0.34562076829898436,3.0327684774846535,0.7157015633527439,1.3569821295938544,0.9824153714472239
lp__,1341.156646785976,1.0066390801709275,-209.82743787110988,0.10149103918418012,3.716785109059716,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-217.8471334684105,-203.49601854305598,-216.4800226059642,-204.45416748869098,-214.78194067270863,-205.38204771823388,-212.1848981696735,-207.18208454313054,-212.8689922253738,-206.66552984949578,-210.38202775645692,-208.55820185458677,-209.49181782947483
lambda[9],2342.4343905178275,1.003179285337183,5.002534940016268,0.715660966345215,34.63706210366558,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04521241577586516,23.12775647204962,0.08707653398696989,13.134316678083444,0.16755058280293791,6.195792809255573,0.4086567467032135,2.4106287054818814,0.32813925335365035,3.1154323882745074,0.7416937478579619,1.3834493491193984,1.0212006109101168
lambda[8],3340.4079565974466,1.0012230691674857,4.994740767546064,0.5257447150190491,30.38607954644264,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.047969352026891975,27.59010761883108,0.08721718843440072,13.439605375418378,0.164228422366655,6.646097652813459,0.43171896355531064,2.4491545883096273,0.33282319714833003,3.234986257584408,0.7377540069162791,1.4000409724631626,1.0043343768836577
lambda[7],3808.329242598311,1.000563946810473,5.966182400150692,1.4349920804689693,88.55574642623219,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04113954226208148,23.740288634950666,0.07599486612485883,12.412873876307856,0.15516278077673398,6.318964700240645,0.39757992794710906,2.559988505673582,0.3101680922740456,3.279264037379858,0.7424057927227301,1.4064227734422337,1.0240093467181484
lambda[6],4009.7056398817767,0.9999402921803486,8.992461758207208,4.374213269514652,276.98496730975734,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.040764768424757736,25.542623556699127,0.076068355263891,13.852579276150918,0.15704513904497716,6.894028667420304,0.4314019520030828,2.426895467754492,0.3302477013894436,3.0761504091563947,0.7143049242094162,1.3951964721190553,1.0023926629000233
lambda[5],2895.6178727595366,1.0004553396000455,12.500142019565711,5.157009695066834,277.50356846627085,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03937311310164499,30.66922580902281,0.07819198307003995,15.037973819158887,0.15740283791481985,6.752492946602579,0.40754379548761477,2.485629165483798,0.31360705061819993,3.147377787652905,0.7447769356390088,1.3877093124490938,1.017184793256158
lambda[4],2578.1893762912737,1.0002659113221353,4.26784210124921,0.6868164906807521,34.87370756370783,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.05261419858895959,22.5039535576822,0.09853792598441168,10.744724332057764,0.16990007933006507,5.724910650850803,0.42185438043153134,2.3472402369875356,0.3351272128212679,3.007829024092583,0.7164558387164057,1.3903940256259082,0.9991191098418802
lambda[3],2678.0499146061616,1.0014657310467234,4.424410221141993,0.4174366825870218,21.602297564349634,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04668860539284272,28.39419267589717,0.08425128464458423,12.42920242249893,0.163026759938082,6.349842964928918,0.40197788539103646,2.5513389989222874,0.3190587627438608,3.2098597089783145,0.7149578090828568,1.3737879156424238,0.9972739251765865
lambda[2],4001.7277068442017,0.9998163762462876,13.380820697758269,5.252845183055194,332.29083889976164,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03356374011193953,25.012434369337615,0.07130809763479051,13.027638373375648,0.1487133749355259,6.310551170301613,0.39910037755263517,2.4087637118706633,0.3093377900903298,3.1433839546941407,0.6811801379858088,1.3832665480063837,0.9618940535645683
