parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%
tau_tilde,1869.525304208583,1.0022205481768625,4.787305795025622,0.7249225176975714,31.34420535469145,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04611660115748581,23.185493187265344,0.08438244338881415,12.235427556542076,0.16244254369039893,6.0129035990263775,0.4113070081848097,2.427031687494847,0.31292234680939013,3.133823136752027,0.7203639930390746,1.3556162686716684,0.9909718204286027
lp__,1359.0941198654727,1.0047759698274616,-27.607732002366433,0.07584153019598004,2.7959657918609158,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-33.99764413307086,-23.056315879428645,-32.74298995817072,-23.63501779776697,-31.379544316782614,-24.290141704058513,-29.2865629100858,-25.577843990284077,-29.799178912074005,-25.23172659258384,-27.959597515795245,-26.63686748253822,-27.276966486061355
lambda[4],3410.7298584768473,1.0011105259734687,5.900871330118856,0.7854945592788339,45.87402456709121,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03894565602745724,28.985100395558483,0.07601618381277361,13.065474654327138,0.1541239735439548,6.71253703123967,0.4113036455015973,2.626227849233249,0.32252997826085816,3.2625488346776517,0.7416473721078847,1.454677248992011,1.0348069656336232
lambda[3],3041.5020379264934,1.0004230807750791,8.820122494997488,3.2899279322172807,181.43891513666603,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.042445629130724985,24.855798301594557,0.08597265335903333,11.668930542441416,0.16988293755102177,5.809609054535255,0.42118710814981264,2.385982136029194,0.33536128263855525,2.9434014915597215,0.7359085234835083,1.3597768308796998,0.9917567185279765
lambda[2],2111.796850235633,1.0012669313667695,5.998305453004158,0.9937533055072448,45.667228463722246,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03397139266905478,27.857549911023934,0.07438491484760971,13.598412402091409,0.15133955848007583,6.821700870155029,0.4145892065438091,2.4589932675071298,0.3245130064826405,3.1172083656058653,0.720782324253025,1.3574251102405246,0.9884937591723684
lambda[1],3701.216729805989,0.9998693137695414,7.241040824185563,1.5698060283826536,95.50327195039968,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04393763247572462,21.60510610741757,0.08844510325424951,11.580295355437952,0.15940870767663567,5.931299109639153,0.3992581460196042,2.330524906812655,0.30903669868510153,3.040381524866162,0.7364659450171565,1.3830920335714805,1.0048046313852474
c2_tilde,1136.3724095641655,1.0027427691486652,1.9783044350593681,0.09999146861244082,3.370724730924275,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.36583860501521126,7.988012285219885,0.42165858278178336,5.491496391813453,0.5075272602570886,3.714193156744441,0.7359839656041083,2.045767455668282,0.6575654163798854,2.3669610179895644,0.9698716669817041,1.4607091422476175,1.1813477524301708
beta[4],3222.613179037165,1.0010542465359962,0.854940952514472,0.012178554570239811,0.6913529747884691,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-0.1807725513261541,2.443241335603887,-0.0676279473363572,2.121252317668179,0.07708573095701154,1.7902206713583435,0.3477136555693826,1.2571839551896777,0.2520676273998194,1.4080548321914128,0.5924567322137598,0.9200962375904037,0.7526991196435014
beta[3],5110.588242804656,1.0001536861539202,0.58293347031717,0.011886472838574032,0.8497446678379081,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.0242053090997942,2.3112684117314277,-0.7936898012911501,1.9960773128541773,-0.4926632884374308,1.6639073020013981,-0.005238119301138117,1.1469309865145654,-0.12988827778958006,1.273231263490432,0.3485259547223873,0.7956376478914364,0.5812281276546277
beta[2],4671.777340369009,1.0001850462430943,0.10856061292679843,0.01398376059341799,0.9557956464528815,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.7537737254248495,1.9834624385143735,-1.4547075955742101,1.7081805954987432,-1.119806885716928,1.3519585799038756,-0.5322233027441635,0.7686704760797484,-0.6891751999127715,0.9261751435416092,-0.1378735315978511,0.3355450155997768,0.09789489894287756
