parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%
tau_tilde,3830.38106777527,0.9997029195219823,6.035735653199174,1.1672493652317366,72.24114778055075,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.040295191821625304,24.478079168441486,0.07919463904990773,12.794957363861473,0.15880264110063103,6.86933392981937,0.41750015049828304,2.6116350162183006,0.3258185116717558,3.2640553245045987,0.7497141572269668,1.430516514542365,1.0347218874939503
lp__,1589.0740523451782,1.0042725243787196,-66.13140237668279,0.07507169602123825,2.9925974095826553,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-72.93401635082952,-61.29566849532232,-71.67081707993017,-61.85265820397887,-70.07463056683666,-62.56999485959937,-67.93128888020456,-63.9132315746515,-68.48169033602022,-63.52276716534178,-66.62043563079342,-65.07433442231738,-65.8122431274297
lambda[5],3090.51017556072,1.0012915452815856,5.91866054290273,0.7884344023215927,43.830926897870306,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03651102058678118,32.911325175375104,0.08378068350356335,13.513247521125832,0.16182189536998817,6.300009073601764,0.42751809548645225,2.5218123000653843,0.3279407158953103,3.2214979039009535,0.7412320150824387,1.4148168987848369,1.0229027664636812
lambda[4],2027.6781369915975,1.0018888685284406,8.019317577392828,3.8930644888877985,175.303709944962,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04621621534956128,24.20818970119763,0.09187545829553982,12.067034680672004,0.17254455015035322,5.818400547904777,0.4300384937172792,2.3583366719037198,0.33649290399673076,2.9585837920793647,0.7175186073069412,1.3464088838550703,0.9895635690450137
lambda[3],3390.2059713412596,1.0000791672887979,6.09971553968959,1.4404651056559266,83.8717653980952,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.042206325794940325,25.239418510051614,0.07917018624899609,13.15616144318344,0.14568085983549914,6.143825421066666,0.4046084154108992,2.4680118161392803,0.32130077975743065,3.080235518008112,0.7115021795062965,1.401943778273218,1.0178527016715115
lambda[2],3892.156629646872,0.9999425480062945,8.519925078006569,3.5425211029760697,221.0077995327874,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03262498546482743,26.759653637620463,0.07014825054435966,13.33410736226559,0.14861282439274315,6.248418216732155,0.3895331817593831,2.41536794970683,0.31282701956367537,3.0758480984639753,0.7148344134972693,1.3611696303289178,0.9991855364207622
lambda[1],3276.677400522911,1.0029687586174902,12.371618828142422,6.270152771069741,358.9177737973531,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04093160702222962,22.47831795517729,0.07341087418494627,12.88040364755003,0.1601730414073087,6.186643920245006,0.4330287884025935,2.4462207710560566,0.32640283420617267,3.1873996790745798,0.7445483937245588,1.3836697507090883,1.0259491234268545
c2_tilde,2997.595933837767,1.0005529542382419,2.4216010677109048,0.46277814465618655,25.33724472044007,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.3547470002397507,7.803755744003891,0.41281488460917576,5.518197201205815,0.5086896239176499,3.589641230883318,0.7457220779135945,2.039678169002089,0.6708539508681836,2.3771553011429045,0.9918102886388945,1.4325224335818778,1.1829202704721091
beta[5],2723.2570521910116,0.9999986500811642,0.6019624285973735,0.008292897405211833,0.4327634865938289,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,-0.06316247103306573,1.6136249221904129,0.015707307857122516,1.3859956456346219,0.10732756255716805,1.1977654483405746,0.27889607481180223,0.8484032361989099,0.23211210129838938,0.9406090360331023,0.4438209119188966,0.650831458055229,0.5409255591540139
beta[4],6716.891233736346,0.9986810375890798,0.7117176535809717,0.008700976554458563,0.7131028240180738,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.6512520560613398,2.1201325345578987,-0.41917140749643955,1.8831150880474543,-0.1963862580749032,1.6471026470112164,0.2437739623239477,1.1707787378199848,0.11979367912944776,1.2936391106843779,0.5247818225448063,0.8701928443980915,0.7011338311063322
beta[3],6345.637900981063,0.9992758098085064,0.03717923585260145,0.012346731113284198,0.9835345790692607,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.89066470824178,1.9282554760048667,-1.5793552756495304,1.6137791660250813,-1.2062512153805638,1.3050194324382967,-0.6399785092049544,0.6990858029323068,-0.7866628356993792,0.8629661659813659,-0.21401261942225763,0.30565155106146275,0.04404397188231179
beta[2],5831.653670700808,0.999359683220409,0.7851681473120149,0.009764054987160141,0.745634644790562,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.6420386304638858,2.388838741401789,-0.3985836456003011,2.100612560775104,-0.1259275586028681,1.7253339990870449,0.29240354200821833,1.2386781237441746,0.17203049164905312,1.3783992892916994,0.5748376747022883,0.9417413033970403,0.7503583072279617
