parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%
tau_tilde,3711.552115033257,1.0001708636786475,6.929980803802337,1.8516373639071846,112.80639415243932,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.031011627388414603,25.484396336962323,0.06612936790043535,14.317079155845288,0.14636772818187177,6.847769623430746,0.40193484601283547,2.5213889464035057,0.3066982914259429,3.2433962682624267,0.7136286237120834,1.3919395276235493,1.0062563856516846
sigma,4073.2742663816966,1.0000629457456698,0.30857761997030353,2.8678369782910476e-4,0.018303168886622135,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.2747700840031745,0.3473270566255881,0.28040667156322435,0.3393686983539218,0.28587512555027056,0.33233925311632606,0.29599944853129867,0.32039427859997255,0.29335973362027,0.3237621710132177,0.30288327402729087,0.31235570300649074,0.3075906051421584
lp__,1380.1101186942817,1.0032910055438975,90.06025921970456,0.07692978883934273,2.857928835820738,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,83.44554602375743,94.49151681844268,84.8844604766318,94.03564207974384,86.345793834002,93.41787787857979,88.39225235440863,92.1224431556528,87.8610195984624,92.51833518541221,89.65981210472617,91.12396543957288,90.43762269826647
lambda[4],3446.4672665378553,0.9998439358594933,4.581719643727299,0.7164985903576822,42.06321068649833,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04573374175385304,20.838031421553268,0.07866083771421001,11.722526695889176,0.1609899967275214,5.747832238113793,0.4074107831744347,2.4009847573461833,0.32251433813918073,3.0294782207749935,0.7043380042748545,1.3308111611762912,0.9781640231096822
lambda[3],3264.9783369570173,1.0004350552957297,8.700982707188798,4.171560462614083,238.36291872893253,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03258819997391217,27.474890764434555,0.07429280237521152,13.311559380250005,0.14551176704842084,6.375012305391001,0.40619232286882245,2.445918699437871,0.3136365795679037,3.13575959628211,0.6919894419182062,1.344175742054874,0.9891662904346329
lambda[2],2005.9460088118449,1.0007954216743695,4.965168168943398,0.8185132038161927,36.659396349186416,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04314091702474281,22.289161398728446,0.08712718729186118,11.777990860628009,0.15910372299967984,6.199482303167141,0.4331252838795792,2.4195634084446125,0.3294506634214747,3.04512485067334,0.7431745155029876,1.3876706644920103,1.0119720612168948
lambda[1],2342.9770692400757,1.0016515341986088,7.9455107928537805,2.227199302757824,107.80604186276811,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04517170558263983,28.80501090396934,0.08579818550224502,13.19238581083438,0.17868675763643654,6.0558573643937175,0.4303278697426047,2.38731429417885,0.3442825532593923,2.969153413711526,0.7465227523573368,1.4108583346070034,1.0325525880381639
c2_tilde,1227.1206701249946,1.0045793071778968,2.0450050136883173,0.10356762878570701,3.6280032618374736,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.3507513372185663,8.803963443359184,0.41220126541522034,5.6531899960803065,0.4961187428026532,3.8071062192771064,0.7433719006720205,2.106366242327131,0.6628121309055827,2.477272819088566,0.9856728557765582,1.4583581271594568,1.1851365755277858
beta[4],4673.429259411498,1.0003905026621573,0.8939270624121366,0.003994997815265214,0.27310797541711507,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.34432851092165984,1.4284778748131561,0.4467772763130061,1.3384321207977723,0.5411662354398938,1.2410706842292656,0.7142427243752327,1.074344931795333,0.6657176884950858,1.119313064849045,0.8270675067317828,0.9629330369606052,0.8995467205751401
beta[3],4734.690230575967,0.999470673467974,1.8023385784478654,0.011639387824270393,0.8008956305494882,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.19869939804284212,3.382884762599625,0.46028244954736086,3.108540275722387,0.7599832798241187,2.8173653184700713,1.27571521801503,2.3299111803267767,1.1435251030060112,2.4751794195350554,1.5985851149410628,2.0121468062003567,1.8205234796240344
beta[2],4647.421072511596,0.9989196312332753,0.5864736386681949,0.014803384396743806,1.0091762655605843,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.3469032676942252,2.58133021474258,-1.0195658532635832,2.2324663476026587,-0.6727936753268363,1.876491112254113,-0.11347104817981155,1.2703864982153068,-0.2785928707203516,1.4340516141928634,0.30898504564278795,0.8340094714323556,0.5800028293469836
beta[1],4135.6533642798395,0.9989037999658597,1.8278204588803981,0.011714035994648925,0.7533184766063352,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.36310132270398976,3.26068592029641,0.5515572176557053,3.0510817717386765,0.8627379563517198,2.7964026112391753,1.3294992277457673,2.3559586938723474,1.2053843464709542,2.468137526578648,1.645264638661259,2.017344489292034,1.8338661541250199
b_seqvar[4],2990.3082048354586,0.9997523464247877,-0.3858916329141006,0.012240727196241138,0.6693683835161128,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-2.285789491773624,-0.0010529201488169305,-1.7606076821923506,-0.0025533313093270026,-1.1910748116657737,-0.006713857058235698,-0.42009542934775823,-0.027403059265062223,-0.5794191366069125,-0.018966478638041857,-0.17635934635523914,-0.06496941055185895,-0.10960407177412834
b_seqvar[3],2924.100242596322,0.9994118248541703,-0.7943341237483278,0.027228907213305193,1.472401802431991,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-5.01640847905319,-5.956067465031818e-4,-3.80655703089912,-0.002652134206713839,-2.3818779722543053,-0.00956168363990631,-0.829651426232946,-0.04592621401808567,-1.1415352782252652,-0.03066524472295843,-0.34636500711733653,-0.12222444872324745,-0.20138827805737028
b_seqvar[2],3055.110994291424,1.000299175834542,-0.2708456756029865,0.017419225081750176,0.9628138467077748,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.9907376895243454,0.8474844100688884,-1.9726378478938233,0.39915547474191365,-0.9996467734763856,0.12746605176765677,-0.23258927346809,0.0026440097698311087,-0.3650629493959042,0.013552519089180112,-0.07265839196766422,-0.010544310927294343,-0.03169523311195205
b_seqvar[1],2881.49213704279,1.0010105274465917,-0.839829084024071,0.02854874854675391,1.5324834562037577,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-5.227927083864143,-0.001196622196240033,-3.816918625794649,-0.0041494241983477224,-2.5475886513422723,-0.011619964870328063,-0.8842840570288452,-0.05308401172903927,-1.2463503174359614,-0.0348022832957833,-0.37272878598205883,-0.13248230931014085,-0.2168995354350698
alpha,4552.847226938003,1.0004369762677574,0.10573970004956418,3.9326065367257254e-4,0.02653517985103376,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.05345834354324612,0.15781907800544503,0.06289209236384305,0.14936723842020128,0.07134696785346906,0.13938931785595132,0.0877681686027588,0.12361778857737617,0.08402617390467138,0.12756685278783858,0.09887985759460075,0.11245042630262025,0.1055859860711033
