parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%
tau_tilde,3157.799128833419,1.000245412006666,5.397501699475924,0.8332617929401233,46.82456151279995,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03090458273398356,28.612377324391243,0.07636982833003306,12.311747018241434,0.15178270955957737,6.278569306207069,0.40513784629005495,2.400287167711324,0.31443900795017954,3.059796518657582,0.718301815180842,1.3821558248190566,0.9906224150748872
sigma,8260.003323783561,0.9991343024993429,0.26574492535811745,7.868341922273227e-5,0.007151107968853791,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.25211355632555515,0.2800297998308298,0.2539692439278825,0.277638436815475,0.2565619054176985,0.27495002569285115,0.2609025944252014,0.27043753447368324,0.2597182925700623,0.2717793818161156,0.26381510725033525,0.267501619144131,0.26563426946043006
lp__,1152.80295163645,1.0040758684405977,543.7754226405065,0.10354052363504807,3.5155064322714256,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,536.2186377418192,549.6002276624522,537.5507799260838,548.918892368171,539.249870424093,548.0435999064115,541.5869050542582,546.3508978625214,540.897924859576,546.8351254990886,543.1758887854016,544.9171927750737,544.0605562810929
lambda[8],3858.157654161271,0.9999257782280406,6.560184945428837,1.8620718605115132,115.66086132219883,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03911144838838866,24.759304005032533,0.07980278008074161,11.518289432862572,0.16807818668118138,5.953319705439986,0.43079204919348174,2.3831685326100627,0.3406210561413371,2.994633608585722,0.7325826155526453,1.3741637449804993,1.011318710346836
lambda[7],3109.515403137341,1.0005474647549633,21.486063452962537,16.462192112847013,917.9816961749152,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.0425728749480333,24.92016024617221,0.07967934065299241,11.96012747746617,0.15996340364690814,6.217185246566599,0.4184484881426747,2.4100521330411757,0.33237989306762195,3.0783575236685183,0.7290218969056264,1.369609590531962,0.9861460662941635
lambda[6],3097.63881957376,1.0007413558231817,6.203016069958005,1.257902349509481,70.01036105996863,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.038577554848448034,26.553347586442033,0.07622240692664783,14.234546769157852,0.15734305397444315,6.684350935646589,0.41264689592336856,2.5030347120667753,0.32003451871431293,3.2458348213107753,0.7403316179543735,1.390180745298156,1.0166494119461817
lambda[5],2305.680913743466,1.002270629460565,4.2507102930426015,0.5074614161120891,24.367031758236422,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.036443893052499204,25.572829938758225,0.07616328649482167,12.26690770235407,0.15065883624971313,6.303799148544698,0.4110548376881273,2.409466059237566,0.3205119631738485,3.083675891083276,0.7209370396366994,1.363005057819188,0.9847607111733963
lambda[4],3291.1136135309716,1.00017762204905,4.217120652387524,0.4537094498067102,26.028507279595722,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04140328993693525,23.555013189537963,0.08375669766283739,11.50469354139292,0.16515903775471605,5.744636159106806,0.4232566148039738,2.324546533557039,0.33983742390240396,2.918741760651767,0.7364960656538563,1.379681142167838,1.0161826287731928
lambda[3],3865.1318717634285,0.9996784572594584,4.273767553892961,0.5658320359675574,35.177882213181675,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.04427446616230852,24.881532029996908,0.07724104239451694,12.634344533626036,0.1494175885059099,6.569206352653617,0.3996218910924912,2.5746030566760933,0.3120595669724534,3.2492421953690593,0.7166133918243954,1.3851974378394463,0.9953332905013982
lambda[2],2820.359895207663,1.0005777921708106,4.679056800868621,0.5875596894920604,31.203568089274597,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.0483870983801765,20.289735191657947,0.09436868852951329,10.345844227082367,0.17686197391944178,5.588325760800622,0.4304930631498145,2.2485452954553478,0.33082692006667647,2.872974808539469,0.7198967086702588,1.3255075603503983,0.9686704573133493
lambda[1],2247.4411282146807,1.0016994700515696,15.314898944700886,10.999240945766669,521.4430432515269,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.03778498465908669,21.908802767544927,0.08381741815464058,11.71123642364224,0.16178575265693407,6.483378948585944,0.4244729989435637,2.4468819288890096,0.3254515706134763,3.1452414100906116,0.7111898746228891,1.396361016927676,0.9945390932494105
c2_tilde,2072.4282526865763,1.0018635665598739,1.8809075950978196,0.06825143644184435,3.1070736524902896,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.36718959321510247,7.255921145683704,0.42901761298138363,5.225110273038878,0.5157641372425603,3.457623344743003,0.7379787260102314,2.017317521527846,0.6626647834435682,2.3673329782989745,0.9702386363202269,1.4026137729364656,1.1510935626274255
beta[8],7999.437012889457,0.999039653890766,0.6779711057607265,0.0014973156625321352,0.1339192717826644,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.41160505070932696,0.9401791143693035,0.4497329158010826,0.8975887677555432,0.5062800738203904,0.8463119773705955,0.5907204724567691,0.767089462575944,0.5701166661911333,0.7886878560289656,0.6450563543449495,0.7095731269688715,0.6784721876567325
beta[7],7887.116580462925,0.9995473110486741,0.04913433107465411,0.011144110794439312,0.9897022356487174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.9082560284491743,1.9428822880802095,-1.5882541371422494,1.6614899507366152,-1.2079225149279342,1.3173674918058247,-0.6311498159332345,0.7279088445542844,-0.7884033725580817,0.8809986132507861,-0.21226220357573578,0.3271078904715725,0.05643623654670793
beta[6],9185.068050046935,0.9988303082755865,3.3342161714355347,0.006297984584821722,0.6035910374360272,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2.1555721039795226,4.517769693962783,2.3435697611488364,4.306453685799722,2.5658520179753586,4.108412029006642,2.9306127864695064,3.7485066684510646,2.829340366287262,3.8492173801664356,3.1810376338597983,3.476008334717453,3.33007041355282
beta[5],7433.294442954506,0.9990578923715254,-0.04371983317499825,0.01137060262588048,0.9803341924068464,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.9351563910311427,1.914356358154202,-1.583777783947162,1.5578212195477652,-1.2711978199087488,1.2029559635043396,-0.722487489603799,0.6121701590856773,-0.864460890684975,0.7753059829102223,-0.2963204472357588,0.1873321780819241,-0.046331821032637964
beta[4],6984.943102999261,0.9995279167526765,0.793289994477609,0.011359082813432671,0.94934638765412,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1.0758070146666794,2.653637639946022,-0.7863489038255986,2.360124441480496,-0.43851421318934203,2.0432299745212252,0.15644172748426174,1.4208439359409966,-0.006216821826394884,1.5879919060714462,0.5591144659049727,1.0362928852800795,0.7967208984934088
beta[3],7351.914040945553,0.999074739775252,0.08824557306596774,0.01163507337738408,0.9976296241679937,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.847210807912029,2.0026186621565634,-1.585415209058488,1.6925565803002818,-1.222085907243192,1.3650507634991054,-0.5768479358670181,0.7635407063713071,-0.759758155607556,0.9312033581210888,-0.14669067055623453,0.3462482654947403,0.09821531885621694
beta[2],8196.6463665838,0.9991788997077516,2.217418630123773,0.007666400520615009,0.6940801174895633,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.8707003592320237,3.566436756782125,1.096497970520513,3.3420544559747283,1.3308574585539468,3.1212224474481256,1.7312897332395691,2.7006369725231147,1.6314324294865645,2.816950449940988,2.0376592625777254,2.3974305433314163,2.2055587893979918
beta[1],8362.189772554486,0.9986759463574522,2.676286776221161,0.008237489813114517,0.7532773346712939,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1.1969972983688029,4.155574062238601,1.458684857012931,3.9236916620509392,1.7044013579259334,3.656281841662369,2.1819788025865656,3.182251494058261,2.048337531126912,3.305225219787184,2.485065844536946,2.8610049582790866,2.663565411536938
b_seqvar[8],3897.124477542161,1.0008774042489927,-0.3383279208281066,0.008085580902391204,0.504758180051343,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-1.7184783937194301,-0.0012380699808874206,-1.337144977852909,-0.003495247743473628,-1.0246403094458814,-0.008697677845234102,-0.4277097407283811,-0.03363544935022871,-0.5593208021577386,-0.02434283697505251,-0.19677749441336703,-0.07758188446371186,-0.12279715349237172
b_seqvar[7],2873.924522247071,0.9999778463131861,-0.01721074695652023,0.018071566730161026,0.9687985603694853,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.8986693390442468,1.9152983857918373,-1.2443888216500383,1.1724472495363525,-0.6190484185957419,0.5483766627246603,-0.12136350855313727,0.08002828754751462,-0.19692333714537819,0.15087049579938805,-0.022215891448389043,0.009387139321515279,-0.001278455268617005
b_seqvar[6],4098.105740210942,0.999134840055637,-1.7570252658955754,0.03956224554107685,2.5326344732769965,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-8.859028811067873,-0.005510001989179631,-6.923047247939129,-0.014256442422413019,-5.153284719636971,-0.03524394576573134,-2.3556027081505855,-0.15628095688646315,-3.056087880012104,-0.10379427792047015,-1.0717510341248004,-0.38104586548159436,-0.6687630301187684
b_seqvar[5],3021.009781486163,1.0001306491776987,0.03853703907661319,0.016238906979754244,0.8925506278008065,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.7833044371313558,2.1081508530153417,-1.1188072277512282,1.33779467303166,-0.5131706581786788,0.620448255125996,-0.07529604016725717,0.11466838576119132,-0.13781468474262992,0.19783883591800658,-0.008012068156893424,0.016428815099947456,0.0010678878112940129
b_seqvar[4],2975.232190311791,1.0010088435619073,-0.3769665040002453,0.01808489361651211,0.9864529831072418,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-3.032294943752826,0.7166421063939001,-2.2201754023382363,0.2928541687040358,-1.3282003480657365,0.07347339184538744,-0.42193432647435536,-0.003207015869844278,-0.6073813762668656,2.126037117641584e-4,-0.1508263462501888,-0.03573843444930005,-0.07881993195663575
b_seqvar[3],2654.0015028401567,1.0005061990471638,-0.036466845369587116,0.01802689784931921,0.9286917339169944,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.0424268490448023,1.919669151567863,-1.3399256974304294,1.153698908698125,-0.687029056556973,0.5268380499319151,-0.12788160652488217,0.07558892648148997,-0.22195397918945073,0.13752647816125022,-0.02245143692556894,0.005552978666539989,-0.002946550097928361
b_seqvar[2],3467.2249510476486,0.9999708441525751,-1.109322240431379,0.03059563669831457,1.8015673603856364,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-5.8451745404347175,-0.004535656036354947,-4.5926458454291135,-0.01014166790828769,-3.242507266911513,-0.02419371020701695,-1.3636519640422882,-0.09658514529797263,-1.7983573518591232,-0.06917216156345701,-0.6289057738178054,-0.23315351313184,-0.38590351770941744
b_seqvar[1],3948.531814054989,0.9989340112960139,-1.3805464587912204,0.03372396570578166,2.119124437608511,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-7.272136593321066,-0.0044398974107661545,-5.539478245001819,-0.011215290434414556,-3.969467764661846,-0.0297810011790856,-1.800035473248204,-0.12204012134558676,-2.351271914857044,-0.08637595793520389,-0.81064950068785,-0.29510675789395163,-0.47255014332489154
alpha,8569.712597190812,0.9994148170200269,0.0865007407283567,1.116399055670167e-4,0.010334812196541981,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.06643030704533419,0.10657283539326803,0.06949951695660168,0.10382755357689477,0.0732334318739817,0.09994275917823746,0.07959399188769992,0.09350144929839507,0.07763801942007476,0.09524460432793189,0.08396184920618052,0.08913180430326031,0.08641931071703071
